date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:12	64952/64952	---M--	200	added ('OK')	image/png	etag:COb7qv70gPACEAE=	http://images.squarespace-cdn.com/content/v1/5f8b59649453d840fef3dddc/1618512518714-FKM0TMDE3E0SFR7WNYE6/Raniere+Speaks+-+Logo.png?format=1500w	./ranierespeaks-mirror/images.squarespace-cdn.com/content/v1/5f8b59649453d840fef3dddc/1618512518714-FKM0TMDE3E0SFR7WNYE6/Raniere+Speaks+-+Logo26f7.png	(from https://www.ranierespeaks.com/)
11:18:12	73707/73707	---M-Z	200	added ('OK')	text/html	etag:W/%22f682b848994ecd41f36ebcfe543ccab3--gzip%22	https://www.ranierespeaks.com/essays	./ranierespeaks-mirror/www.ranierespeaks.com/essays.html	(from https://www.ranierespeaks.com/)
11:18:12	72241/72241	---M-Z	200	added ('OK')	text/html	etag:W/%229a061bb32ebf0ee298a2cab635f21d75--gzip%22	https://www.ranierespeaks.com/about	./ranierespeaks-mirror/www.ranierespeaks.com/about.html	(from https://www.ranierespeaks.com/)
11:18:13	123879/123879	---M-Z	200	added ('OK')	text/html	etag:W/%2223192fb62f7904523b95fd15eacb4375--gzip%22	https://www.ranierespeaks.com/contact	./ranierespeaks-mirror/www.ranierespeaks.com/contact.html	(from https://www.ranierespeaks.com/)
11:18:15	164136/164136	---M--	200	added ('OK')	image/jpeg	etag:CNmNuIXThfUCEAE=	https://images.squarespace-cdn.com/content/v1/5f8b59649453d840fef3dddc/59ad497c-ea96-4da9-bb05-0543e722b3c2/Keith+Raniere.jpg	./ranierespeaks-mirror/images.squarespace-cdn.com/content/v1/5f8b59649453d840fef3dddc/59ad497c-ea96-4da9-bb05-0543e722b3c2/Keith+Raniere.jpg	(from https://www.ranierespeaks.com/)
11:18:15	77617/77617	---M-Z	200	added ('OK')	text/html	etag:W/%22022579cf15ae8abd5dbf3dc2111ecaa9--gzip%22	https://www.ranierespeaks.com/essays/the-worst-crime-of-all	./ranierespeaks-mirror/www.ranierespeaks.com/essays/the-worst-crime-of-all.html	(from https://www.ranierespeaks.com/)
11:18:17	163003/163003	---M-Z	200	added ('OK')	text/html	etag:W/%22bb6a3176680b9f7217b96f1558355442--gzip%22	https://www.ranierespeaks.com/essays/my-codefendants-and-their-pleas	./ranierespeaks-mirror/www.ranierespeaks.com/essays/my-codefendants-and-their-pleas.html	(from https://www.ranierespeaks.com/)
11:18:18	99613/99613	---M-Z	200	added ('OK')	text/html	etag:W/%225c9c7c95f084b482e6197aa7907c8533--gzip%22	https://www.ranierespeaks.com/essays/op-ed	./ranierespeaks-mirror/www.ranierespeaks.com/essays/op-ed.html	(from https://www.ranierespeaks.com/)
11:18:20	6426594/6426594	---M--	200	added ('OK')	audio/mpeg	etag:1639774251328942n	https://dl.dropboxusercontent.com/scl/fi/g7xcbcpsce5afnqj8j67n/001_Freestyle_Stereo.mp3?rlkey=prfhpehj57ccb5j3qjq8d45zv&e=1&st=ksb4s4tk	./ranierespeaks-mirror/dl.dropboxusercontent.com/scl/fi/g7xcbcpsce5afnqj8j67n/001_Freestyle_Stereo.mp3_;%20filename_=UTF-8''001_Freestyle_Stereo99d3.mp3	(from https://www.ranierespeaks.com/)
11:18:20	4961740/4961740	---M--	200	added ('OK')	audio/mpeg	etag:1639774253401679n	https://dl.dropboxusercontent.com/scl/fi/24v3hcgrv3o6pfdfyaqbc/002_Why_Now_Stereo.mp3?rlkey=bn25ao0wh3vjl9di5p49fvt3g&st=osig9cjv	./ranierespeaks-mirror/dl.dropboxusercontent.com/scl/fi/24v3hcgrv3o6pfdfyaqbc/002_Why_Now_Stereo.mp3_;%20filename_=UTF-8''002_Why_Now_Stereo1642.mp3	(from https://www.ranierespeaks.com/)
11:18:21	2963450/2963450	---M--	200	added ('OK')	audio/mpeg	etag:1639774255246334n	https://dl.dropboxusercontent.com/scl/fi/8x5h6i020ub2d3tidy2uv/003_Expanding_on_Hitler_Stereo.mp3?rlkey=iwa9oilka0xgvqldket2ke9eq&st=u8l8g5zj	./ranierespeaks-mirror/dl.dropboxusercontent.com/scl/fi/8x5h6i020ub2d3tidy2uv/003_Expanding_on_Hitler_Stereo.mp3_;%20filename_=UTF-8''003_Expanding_on_Hitler_Stereo4fcf.mp3	(from https://www.ranierespeaks.com/)
11:18:22	2497302/2497302	---M--	200	added ('OK')	audio/mpeg	etag:1639774255671743n	https://dl.dropboxusercontent.com/scl/fi/pcs2ad5um03ex5gznxdvm/004_Prosecutors_Winning_Stereo.mp3?rlkey=oc9r5tqibedwspdxnfijgwzd1&st=6z3pvcty	./ranierespeaks-mirror/dl.dropboxusercontent.com/scl/fi/pcs2ad5um03ex5gznxdvm/004_Prosecutors_Winning_Stereo.mp3_;%20filename_=UTF-8''004_Prosecutors_Winning_Stereob11f.mp3	(from https://www.ranierespeaks.com/)
11:18:23	2534275/2534275	---M--	200	added ('OK')	audio/mpeg	etag:1639774256034955n	https://dl.dropboxusercontent.com/scl/fi/aprtrhfs3wht8lofuxf3g/005_More_on_Prejudice_Stereo.mp3?rlkey=54bluoc05mnrzwr8lrae0gio2&st=12v2l66b	./ranierespeaks-mirror/dl.dropboxusercontent.com/scl/fi/aprtrhfs3wht8lofuxf3g/005_More_on_Prejudice_Stereo.mp3_;%20filename_=UTF-8''005_More_on_Prejudice_Stereodd3a.mp3	(from https://www.ranierespeaks.com/)
